Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count
1,Uncategorized,uncategorized,,,,,72
246,Ab in,ab-in,Et doloribus saepe voluptas id et eum odit optio error consequatur voluptas doloribus nobis id est nesciunt et velit dolores similique at molestiae libero placeat saepe debitis ut dolorem repudiandae perferendis eaque doloribus minus labore aut voluptatem eligendi repellat animi aliquam sed aperiam rerum pariatur quas molestiae officiis modi sint accusamus nam nobis ab ea nam deleniti nulla aspernatur qui numquam possimus vitae dolore odio repellat,,,,
247,Apples,apples,,,,,
248,Aut,aut,Aut laudantium voluptate consectetur repellat harum laborum et doloremque quae earum illum ut velit qui est et laboriosam accusantium non dignissimos necessitatibus et temporibus debitis aspernatur rerum qui possimus neque ipsa id culpa ipsa odio illo ad,,,,
249,Consequatur,consequatur,Aut nihil sapiente fugit sint sapiente autem facilis nihil ullam veritatis porro omnis dolores voluptas eligendi occaecati occaecati eaque aut consequatur impedit saepe eligendi sint modi voluptatibus amet eligendi quisquam ab vero inventore fugiat doloribus et qui voluptatem,,,,
250,Dolores qui,dolores-qui,Exercitationem veritatis sed voluptatem ut voluptate et ipsa iusto dignissimos non nisi ipsum perferendis neque sunt earum id eum,,,,
251,Eveniet temporibus,eveniet-temporibus,Officiis similique quaerat doloremque qui architecto pariatur quia reiciendis velit dolorem omnis tempore quos consequatur sed facilis architecto nihil non sit pariatur corrupti,,,,
252,Ex accusamus,ex-accusamus,Aut exercitationem soluta sint accusantium sint explicabo laborum labore non qui quod et sequi eos laudantium sit et dolores occaecati enim,,,,
253,Grapes,grapes,,,,,
254,Harum,harum,Consequatur architecto eos minus sed a sit voluptatem voluptatum qui temporibus ex vitae quo laborum recusandae qui tenetur dolorem magni,,,,
255,Mango,mango,,,,,
256,Oranges,oranges,,,,,
257,Potatoes,potatoes,,,,,
258,Sint ut,sint-ut,Quia non veritatis repellendus dolorum dolor officiis repellat earum perferendis accusamus sit ipsa suscipit ea perferendis autem quisquam voluptas in id repellendus voluptatem,,,,
2051,Art,art,,,,,
2052,Design,design,,,,,
2053,Journey,journey,,,,,
2054,Luxury,luxury,,,,,
2055,Modern,modern,,,,,
2067,General,general,,,,,
2073,News,news,,,,,
2074,Useful,useful,,,,,
2202,Photography,photography,,,,,
2203,Sound,sound,,,,,
2204,Video,video,,,,,
4389,Style,style,,,,,
4998,Education,education,,,,,
4999,WordPress,wordpress,,,,,
6566,Featured,featured,Featured posts,,,,
7644,Educación,educacion,,,,,
7645,Cursos en línea,cursos-en-linea,,7644,Educación,educacion,
7646,Tecnología,tecnologia,,,,,
7647,Soluciones para emprendedores,soluciones-para-emprendedores,,7646,Tecnología,tecnologia,
7648,ERP,erp,,7646,Tecnología,tecnologia,
7649,Desarrollo Web,desarrollo-web,,7646,Tecnología,tecnologia,
7650,Marketing,marketing,,,,,
7651,Marketing Digital,marketing-digital,,7650,Marketing,marketing,
7652,Negocios,negocios,,,,,
7653,Consultoría Empresarial,consultoria-empresarial,,7652,Negocios,negocios,
7654,Recursos,recursos,,,,,
7655,Recursos generales,recursos-generales,,7654,Recursos,recursos,
