Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count
80,Uncategorized,uncategorized,,,,,169
5205,Capacitación,capacitacion,,,,,
5267,Consultoría,consultoria,,,,,
6794,E-commerce,e-commerce,,,,,
6815,ERP,erp,,,,,
6816,CRM,crm,,,,,
6817,Web,web,,,,,
6818,BI (Business Intelligence),bi-business-intelligence,,,,,
6819,AI (Inteligencia Artificial),ai-inteligencia-artificial,,,,,
6820,Hosting y Dominios,hosting-y-dominios,,,,,
7331,Timetics Meeting,timetics-meeting,,,,,
7341,ERP y CRM,erp-y-crm,,,,,355
7342,Soporte Técnico para WordPress Multisite,soporte-tecnico-para-wordpress-multisite,,,,,2
7343,Soporte Técnico para WordPress,soporte-tecnico-para-wordpress,,,,,2
7344,Soporte Técnico para WooCommerce,soporte-tecnico-para-woocommerce,,,,,2
7345,Soporte Técnico para Tiendas en Línea Avanzadas,soporte-tecnico-para-tiendas-en-linea-avanzadas,,,,,2
7346,Soporte Técnico para Tiendas en Línea,soporte-tecnico-para-tiendas-en-linea,,,,,2
7347,Soporte Técnico para E-commerce,soporte-tecnico-para-e-commerce,,,,,2
7348,Soporte para Gestión de Contenidos,soporte-para-gestion-de-contenidos,,,,,2
7349,Soporte Integral para E-commerce,soporte-integral-para-e-commerce,,,,,2
7350,Soluciones de Logística y Distribución para E-commerce,soluciones-de-logistica-y-distribucion-para-e-commerce,,,,,2
7351,Soluciones de Comercio Electrónico y Tiendas en Línea,soluciones-de-comercio-electronico-y-tiendas-en-linea,,,,,2
7352,Soluciones de Comercio Electrónico,soluciones-de-comercio-electronico,,,,,2
7353,Solución Integral para Optimización de Procesos Empresariales,solucion-integral-para-optimizacion-de-procesos-empresariales,,,,,2
7354,Solución Integral de Dropshipping para E-commerce,solucion-integral-de-dropshipping-para-e-commerce,,,,,2
7355,Servicios de Traducción de Sitios Web,servicios-de-traduccion-de-sitios-web,,,,,2
7356,Servicios de Retención de Clientes para E-commerce,servicios-de-retencion-de-clientes-para-e-commerce,,,,,2
7357,Servicios de Personalización para E-commerce,servicios-de-personalizacion-para-e-commerce,,,,,2
7358,Servicios de Personalización Dinámica para E-commerce,servicios-de-personalizacion-dinamica-para-e-commerce,,,,,2
7359,Servicios de Migración y Modernización,servicios-de-migracion-y-modernizacion,,,,,2
7360,Servicios de Internacionalización para E-commerce,servicios-de-internacionalizacion-para-e-commerce,,,,,2
7361,Servicios de Diseño y Desarrollo Web,servicios-de-diseno-y-desarrollo-web,,,,,2
7362,Servicios de Diseño Gráfico,servicios-de-diseno-grafico,,,,,2
7363,Servicios de Desarrollo Web,servicios-de-desarrollo-web,,,,,2
7364,Servicios de Desarrollo de Software,servicios-de-desarrollo-de-software,,,,,2
7365,Servicios de Actualización de Contenidos Web,servicios-de-actualizacion-de-contenidos-web,,,,,2
7366,Rediseño de Tienda Online,rediseno-de-tienda-online,,,,,2
7367,Plan Mensual de Tienda Online Minorista,plan-mensual-de-tienda-online-minorista,,,,,2
7368,Plan Mensual de Tienda Online Mayorista,plan-mensual-de-tienda-online-mayorista,,,,,2
7369,Plan Mensual de Tienda Online Marketplace,plan-mensual-de-tienda-online-marketplace,,,,,2
