ID,Title,Content,,,,tipo_secciones_repetidas,Excerpt,Date,Post Type,Permalink,repeated_sections,completed_repeated_sections
30819,1. Página de Inicio (Home),"[block id=""home-hero""]
[block id=""homepage-hero-section""]
[block id=""homepage-hero-slider""]
[block id=""hero-section-slider""]
[block id=""hero-e-commerce""]
[block id=""hero-erp-solutions""]
[block id=""testimonials-client-feedback""]
[block id=""success-metrics-client-achievements""]",content_without_repeated_sections,content_without_repeated_sections,,Secciones de página web,,2025-03-22 6:07:07,page,https://web.viaweb.net.ar/?page_id=30819,,No secciones repetidas
30822,2. Acerca de Nosotros (About Us),"[block id=""about-us-company-culture""]
[block id=""company-overview-culture""]
[block id=""partners-partnerships""]
[block id=""partnerships-benefits""]
[block id=""partnerships-business-collaboration""]
[block id=""partnerships-strategic-alliances""]","[block id=""about-us-company-culture""]
[block id=""company-overview-culture""]
[block id=""partners-partnerships""]
[block id=""partnerships-benefits""]
[block id=""partnerships-business-collaboration""]
[block id=""partnerships-strategic-alliances""]","[block id=""about-us-company-culture""]
[block id=""company-overview-culture""]
[block id=""partners-partnerships""]
[block id=""partnerships-benefits""]
[block id=""partnerships-business-collaboration""]
[block id=""partnerships-strategic-alliances""]",,Sección de precios,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30822,,No secciones repetidas
30824,3. Servicios (Services),"
[block id=""services-e-commerce-and-digital-marketing""]
[block id=""services-erp-solutions""]
[block id=""services-features""]
[block id=""services-industry-solutions""]
[block id=""services-marketing-digital""]
[block id=""services-technology-solutions""]
[block id=""soluciones-tecnologicas-erp-y-crm""]
[block id=""servicios-ingenieria-de-software""]
[block id=""features-main-features""]
[block id=""services-comparison""]
","[block id=""services-e-commerce-and-digital-marketing""]
[block id=""services-erp-solutions""]
[block id=""services-features""]
[block id=""services-industry-solutions""]
[block id=""services-marketing-digital""]
[block id=""services-technology-solutions""]
[block id=""soluciones-tecnologicas-erp-y-crm""]
[block id=""servicios-ingenieria-de-software""]
[block id=""features-main-features""]
[block id=""services-comparison""]","[block id=""services-e-commerce-and-digital-marketing""]
[block id=""services-erp-solutions""]
[block id=""services-features""]
[block id=""services-industry-solutions""]
[block id=""services-marketing-digital""]
[block id=""services-technology-solutions""]
[block id=""soluciones-tecnologicas-erp-y-crm""]
[block id=""servicios-ingenieria-de-software""]
[block id=""features-main-features""]
[block id=""services-comparison""]",,Sección de preguntas frecuentes,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30824,,No secciones repetidas
30826,4. Blog (Blog),"[block id=""blog-erp""]
[block id=""resources-knowledge-base""]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[gap height=""40px""]

[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Casos de Éxito: Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>
[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[gap height=""40px""]

[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Casos de Éxito: Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>
[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]

","[block id=""blog-erp""]
[block id=""resources-knowledge-base""]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]","[block id=""blog-erp""]
[block id=""resources-knowledge-base""]

[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]",,Sección de precios,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30826,"
[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]
","
[section label=""Blog"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h2 style=""font-size: 220%;"">Últimos Artículos del Blog</h2>
<p>Lee nuestros artículos para obtener más información sobre ERP y tendencias en la industria.</p>

[/col]

[/row]
[row style=""collapse""]

[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-1.jpg""]

<h4>5 Beneficios de Implementar un ERP</h4>
<p>Descubre cómo un ERP puede transformar tu negocio.</p>
[button text=""Leer Más"" link=""#articulo-1""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-2.jpg""]

<h4>Cómo Elegir el ERP Adecuado</h4>
<p>Consejos para seleccionar el sistema ERP que mejor se adapte a tus necesidades.</p>
[button text=""Leer Más"" link=""#articulo-2""]


[/featured_box]

[/col]
[col span=""4"" span__sm=""12""]

[featured_box img=""https://example.com/articulo-3.jpg""]

<h4>Empresas que Usan ERP</h4>
<p>Historias inspiradoras de empresas que han mejorado su rendimiento con un ERP.</p>

[button text=""Leer Más"" link=""#articulo-3""]


[/featured_box]

[/col]

[/row]

[/section]
[section label=""Testimonios"" bg_color=""#f7f7f7"" padding=""60px""]

[row]

[col align=""center""]

<p></p>
<h6 class=""uppercase secondary-color"">Qué dicen nuestros clientes</h6>
<h2 style=""font-size: 220%;"">Testimonios de Clientes Satisfechos</h2>
<p>Historias reales de éxito que muestran cómo nuestros servicios han transformado negocios.</p>

[/col]

[/row]
[gap height=""40px""]

[row]

[col span=""4"" span__sm=""12""]

[testimonial]

<p>""El equipo entendió nuestras necesidades desde el principio y superó todas nuestras expectativas.""</p>
<h4>- Ana Pérez</h4>
<p class=""meta"">CEO de TechCorp</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""Gracias a ellos, nuestro negocio se ha digitalizado por completo, aumentando nuestras ventas un 200%.""</p>
<h4>- Carlos Gómez</h4>
<p class=""meta"">Fundador de GreenFoods</p>

[/testimonial]

[/col]
[col span=""4"" span__sm=""12""]

[testimonial]

<p>""No podríamos haber elegido un socio más confiable para nuestro proyecto de comercio electrónico.""</p>
<h4>- Laura Méndez</h4>
<p class=""meta"">Directora de ModaOnline</p>

[/testimonial]

[/col]

[/row]

[/section]
"
30828,5. Consultoría (Consulting),"[block id=""consultoria-empresarial-estrategia-y-optimizacion""]
[block id=""marketing-digital-consultoria-integrada""]","[block id=""consultoria-empresarial-estrategia-y-optimizacion""]
[block id=""marketing-digital-consultoria-integrada""]","[block id=""consultoria-empresarial-estrategia-y-optimizacion""]
[block id=""marketing-digital-consultoria-integrada""]",,Sección de preguntas frecuentes,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30828,,No secciones repetidas
30830,6. Precios (Pricing),"[block id=""pricing-plans""]
[block id=""pricing-plans-and-features""]
[block id=""pricing-plans-and-faq""]
[block id=""pricing-service-comparison""]
[block id=""pricing-license-plans""]","[block id=""pricing-plans""]
[block id=""pricing-plans-and-features""]
[block id=""pricing-plans-and-faq""]
[block id=""pricing-service-comparison""]
[block id=""pricing-license-plans""]","[block id=""pricing-plans""]
[block id=""pricing-plans-and-features""]
[block id=""pricing-plans-and-faq""]
[block id=""pricing-service-comparison""]
[block id=""pricing-license-plans""]",,Secciones de página web,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30830,,No secciones repetidas
30839,7. Educación (Education),"[block id=""education-online-business-courses""]
[block id=""online-learning-course-catalog""]
[block id=""recursos-materiales-educativos""]","[block id=""education-online-business-courses""]
[block id=""online-learning-course-catalog""]
[block id=""recursos-materiales-educativos""]","[block id=""education-online-business-courses""]
[block id=""online-learning-course-catalog""]
[block id=""recursos-materiales-educativos""]",,Secciones de página de ayuda,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30839,,No secciones repetidas
30841,8. Contacto (Contact),"[block id=""contact-business-transformation""]
[block id=""contact-call-to-action""]
[block id=""contact-contact-form""]
[block id=""customer-support-portal""]
","[block id=""contact-business-transformation""]
[block id=""contact-call-to-action""]
[block id=""contact-contact-form""]
[block id=""customer-support-portal""]","[block id=""contact-business-transformation""]
[block id=""contact-call-to-action""]
[block id=""contact-contact-form""]
[block id=""customer-support-portal""]",,Secciones de página web,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30841,,No secciones repetidas
30843,9. FAQ (Preguntas Frecuentes),"[block id=""faq-general-questions""]","[block id=""faq-general-questions""]","[block id=""faq-general-questions""]",,Secciones de página web,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30843,,No secciones repetidas
30845,10. Especificaciones del Producto (Product Specifications),,None,None,,No secciones repetidas,,2025-03-22 6:07:08,page,https://web.viaweb.net.ar/?page_id=30845,,No secciones repetidas
