ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,CTM-0001,Gestión de la Experiencia del Cliente (CX),1,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,1,2100000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0002,Mantenimiento de Sistemas IT,1,Mantenimiento de Sistemas IT,Mantenimiento de Sistemas IT,1,2025000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0003,Servicios de monitoreo y gestión de infraestructura IT,1,Monitoreo Y Gestión De Infraestructura It,Monitoreo Y Gestión De Infraestructura It,1,2025000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0004,Servicios de auditoría y cumplimiento normativo,1,Servicios De Consultoría Y Auditoría Para Garantizar El Cumplimiento De Requisitos Legales Y Normativos.,Servicios De Consultoría Y Auditoría Para Garantizar El Cumplimiento De Requisitos Legales Y Normativos.,1,1950000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0005,Paquete de Soporte IT,1,Paquete de Soporte IT,Paquete de Soporte IT,1,1950000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0006,Desarrollo de chatbots,1,"Servicio de Desarrollo de Chatbot de Soporte al Cliente para Ecommerce: Mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.","Servicio de Desarrollo de Chatbot de Soporte al Cliente para Ecommerce: Mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.",1,1875000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0007,Automatización de Servicio al Cliente,1,Automatización Del Servicio Al Cliente,Automatización Del Servicio Al Cliente,1,1875000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0008,Montaje de eventos,1,Servicio Integral De Montaje Y Producción Técnica De Eventos Corporativos O Sociales.,Servicio Integral De Montaje Y Producción Técnica De Eventos Corporativos O Sociales.,1,1800000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0009,Soporte Técnico Continuo,1,Soporte Post-Implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,Soporte Post-Implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,1,1725000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0010,Soporte Remoto,1,Soporte Técnico A Distancia.,Soporte Técnico A Distancia.,1,1725000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0011,Mantenimiento preventivo,1,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,1,1650000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0012,Soporte Técnico 24/7,1,Soporte Técnico Especializado,Soporte Técnico Especializado,1,1650000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0013,Asistencia técnica remota,1,$150 por incidente: Protección integral para tu tranquilidad,$150 por incidente: Protección integral para tu tranquilidad,1,1425000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0014,Generación de Respuestas con IA,1,Solución De Generación De Respuestas Con Ia,Solución De Generación De Respuestas Con Ia,1,1500000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0015,Diseño de interiores,1,Servicio De Diseño Integral De Interiores.,Servicio De Diseño Integral De Interiores.,1,1575000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0016,Servicios de Asistencia Virtual Ecommerce,1,Soluciones De Asistencia Virtual Para Ecommerce.,Soluciones De Asistencia Virtual Para Ecommerce.,1,1575000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0017,Servicio de Gestión de Reseñas y Opiniones,1,"Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.","Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.",1,1425000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0018,Instalación de Software,1,Instalación Y Configuración De Software.,Instalación Y Configuración De Software.,1,1350000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0019,Consultoría legal,1,Servicios De Consultoría Y Asesoría Legal Para Empresas.,Servicios De Consultoría Y Asesoría Legal Para Empresas.,1,1350000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0020,Chatbot de Atención al Cliente para Ecommerce,1,"Servicio de chatbot de atención al cliente para e-commerce. Automatiza las consultas de los clientes 24/7, mejora la experiencia del usuario y aumenta las ventas.","Servicio de chatbot de atención al cliente para e-commerce. Automatiza las consultas de los clientes 24/7, mejora la experiencia del usuario y aumenta las ventas.",1,1200000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0021,$200 por incidente: Protección integral para tu tranquilidad,1,$200 por incidente: Protección integral para tu tranquilidad,$200 por incidente: Protección integral para tu tranquilidad,1,1275000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0022,Chatbot de Ventas (WhatsApp/Web),1,Chatbots para Ecommerce que mejoran la atención al cliente.,Chatbots para Ecommerce que mejoran la atención al cliente.,1,1200000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0023,Traducción de Documentos,1,Traducción de Documentos,Traducción de Documentos,1,1125000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0024,Servicio de traducción,1,Servicios De Traducción De Contenido A Diversos Idiomas.,Servicios De Traducción De Contenido A Diversos Idiomas.,1,1125000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0025,Actualización de software,1,Actualización De Software Y Parches De Seguridad.,Actualización De Software Y Parches De Seguridad.,1,1050000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0026,Alquiler de equipo audiovisual,1,Alquiler De Equipos Audiovisuales Profesionales Para Proyectos De Producción De Contenido.,Alquiler De Equipos Audiovisuales Profesionales Para Proyectos De Producción De Contenido.,1,1050000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0027,Enrutamiento Inteligente de Tickets,1,Solución De Enrutamiento Inteligente De Tickets Con Ia,Solución De Enrutamiento Inteligente De Tickets Con Ia,1,900000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0028,Traducción e interpretación,1,Servicios De Interpretación En Vivo Para Eventos Y Reuniones Multilinguës.,Servicios De Interpretación En Vivo Para Eventos Y Reuniones Multilinguës.,1,975000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0029,Personalización,1,Servicio De Asesoría Integral De Imagen Personal.,Servicio De Asesoría Integral De Imagen Personal.,1,750000,Servicios > Atención al Cliente,"servicio,clientum"
,simple,CTM-0030,Plataforma de Chatbots y Asistentes Virtuales,1,Chatbots Y Asistentes Virtuales,Chatbots Y Asistentes Virtuales,1,825000,Servicios > Atención al Cliente,"servicio,clientum"
