ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,CRS-341,Nutrition: Build Your Perfect Diet & Meal Plan,1,"Learn How To Build The Perfect Diet & Meal Plan For Improved Health, Better Weight Loss And More Muscle Gains Hi, I'm Felix Harder fitness and dieting coach and amazon best selling author. My ""Nutriti","Learn How To Build The Perfect Diet & Meal Plan For Improved Health, Better Weight Loss And More Muscle Gains Hi, I'm Felix Harder fitness and dieting coach and amazon best selling author. My ""Nutriti",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1136,Crea tu Tienda Online ¡YA! con Woocommerce,1,Vende más que nunca y despídete del trabajo tradicional.,Vende más que nunca y despídete del trabajo tradicional.,1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1137,Automatiza tu Negocio y Multiplica tu Tiempo Libre,1,"¡Adiós al estrés, hola a la eficiencia y la productividad!","¡Adiós al estrés, hola a la eficiencia y la productividad!",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1138,Dolibarr ERP/CRM,1,Gestiona tu empresa como un CEO y domina tus finanzas al 100%.,Gestiona tu empresa como un CEO y domina tus finanzas al 100%.,1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1139,Zapier e Integromat,1,"Conecta tus apps favoritas, automatiza tareas y trabaja como un ninja.","Conecta tus apps favoritas, automatiza tareas y trabaja como un ninja.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1140,SEO Avanzado,1,Posiciona tu web en el TOP de Google y recibe miles de visitas sin esfuerzo.,Posiciona tu web en el TOP de Google y recibe miles de visitas sin esfuerzo.,1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1141,Ciberseguridad para Pymes,1,Protege tu negocio de hackers y duerme tranquilo por la noche.,Protege tu negocio de hackers y duerme tranquilo por la noche.,1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1142,Comunicación Empresarial Efectiva,1,"Domina el arte de hablar en público, convence a tus clientes y logra tus objetivos.","Domina el arte de hablar en público, convence a tus clientes y logra tus objetivos.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1143,Ventas Ninja,1,"Aprende a vender como un profesional, aumenta tus ingresos al máximo y alcanza la libertad financiera.","Aprende a vender como un profesional, aumenta tus ingresos al máximo y alcanza la libertad financiera.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1144,Gestiona tu Tiempo y Multiplica tu Productividad,1,"¡Haz más en menos tiempo, conquista tus metas y disfruta de la vida!","¡Haz más en menos tiempo, conquista tus metas y disfruta de la vida!",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1145,Inteligencia Emocional para el Éxito,1,"Desarrolla tu potencial, alcanza el éxito personal y profesional, y vive una vida plena.","Desarrolla tu potencial, alcanza el éxito personal y profesional, y vive una vida plena.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1146,Liderazgo Inspirador,1,"Conviértete en un líder que motiva, guía equipos hacia el éxito y crea un ambiente de trabajo excepcional.","Conviértete en un líder que motiva, guía equipos hacia el éxito y crea un ambiente de trabajo excepcional.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1147,Negociación Ganadora,1,"Domina el arte de negociar, consigue acuerdos que te beneficien y alcanza tus objetivos.","Domina el arte de negociar, consigue acuerdos que te beneficien y alcanza tus objetivos.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1148,Apps Móviles Rentables,1,"Crea apps que enamoran a los usuarios, generan ingresos y te convierten en un desarrollador codiciado.","Crea apps que enamoran a los usuarios, generan ingresos y te convierten en un desarrollador codiciado.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1149,Programación Web con Python,1,"Conviértete en un desarrollador web codiciado, crea sitios web increíbles y trabaja desde cualquier lugar.","Conviértete en un desarrollador web codiciado, crea sitios web increíbles y trabaja desde cualquier lugar.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1150,Automatiza tu Ecommerce y Dispara tus Ventas,1,¡Vende más sin trabajar más y disfruta de tu tiempo libre!,¡Vende más sin trabajar más y disfruta de tu tiempo libre!,1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1151,Finanzas para Emprendedores,1,"Toma el control de tus finanzas, lleva tu negocio al siguiente nivel y alcanza la estabilidad financiera.","Toma el control de tus finanzas, lleva tu negocio al siguiente nivel y alcanza la estabilidad financiera.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
,simple,CRS-1152,Comunícate como un Profesional,1,"Mejora tus habilidades de comunicación, alcanza tus metas y conviértete en un comunicador efectivo.","Mejora tus habilidades de comunicación, alcanza tus metas y conviértete en un comunicador efectivo.",1,0,Cursos > Campus Virtual,"curso,capacitacion,clientum"
