ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Sale price,Categories,Tags
,simple,CTM-0001,Gestión de la Experiencia del Cliente (CX),1,Servicios de gestión de la experiencia del cliente,Servicios de gestión de la experiencia del cliente,1,2100000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0002,Mantenimiento de Sistemas IT,1,Systems Maintenance,Systems Maintenance,1,2025000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0003,Servicios de monitoreo y gestión de infraestructura IT,1,Monitoreo IT; Monitoreo de infraestructura; Servicios de monitoreo y gestión de infraestructura IT,Monitoreo IT; Monitoreo de infraestructura; Servicios de monitoreo y gestión de infraestructura IT,1,2025000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0004,Servicios de auditoría y cumplimiento normativo,1,Servicios de auditoría y aseguramiento de calidad de software; Servicios de auditoría y cumplimiento normativo,Servicios de auditoría y aseguramiento de calidad de software; Servicios de auditoría y cumplimiento normativo,1,1950000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0005,Paquete de Soporte IT,1,IT Support Package,IT Support Package,1,1950000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0006,Desarrollo de chatbots,1,Desarrollo de chatbots; Desarrollo de chatbots y asistentes virtuales; Diseño y desarrollo de chatbots; Servicio de Desarrollo de Chatbot para Atención al Clien,"Desarrollo de chatbots; Desarrollo de chatbots y asistentes virtuales; Diseño y desarrollo de chatbots; Servicio de Desarrollo de Chatbot para Atención al Cliente: Mejora la Experiencia, Reduce Tiempos de Respuesta; Servicio de Desarrollo de Chatbot para Soporte al Cliente: Mejora la Atención, Reduce Tiempos de Respuesta; Servicios de Desarrollo de Chatbots Ecommerce",1,1875000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0007,Automatización de Servicio al Cliente,1,Automatización de Encuestas y Retroalimentación del Cliente; Automatización de Servicio al Cliente; Automatización de Servicio al Cliente con IA; Automatización,Automatización de Encuestas y Retroalimentación del Cliente; Automatización de Servicio al Cliente; Automatización de Servicio al Cliente con IA; Automatización de Servicio al Cliente en Plataformas Móviles,1,1875000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0008,Montaje de eventos,1,Montaje de eventos; Organización de eventos,Montaje de eventos; Organización de eventos,1,1800000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0009,Soporte Técnico Continuo,1,Mantenimiento y Soporte Técnico Continuo; Soporte Post-Implementación: Asistencia Experta para el Éxito Continuo; Soporte Técnico Continuo; Soporte Técnico Cont,Mantenimiento y Soporte Técnico Continuo; Soporte Post-Implementación: Asistencia Experta para el Éxito Continuo; Soporte Técnico Continuo; Soporte Técnico Continuo: Asistencia Experta 24/7 para tu Tranquilidad,1,1725000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0010,Soporte Remoto,1,Soporte Remoto; Soporte al Cliente,Soporte Remoto; Soporte al Cliente,1,1725000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0011,Mantenimiento preventivo,1,Mantenimiento de Hardware; Mantenimiento de Software; Mantenimiento preventivo; Mantenimiento y soporte IT; Servicios de Mantenimiento de Software; Servicios de,Mantenimiento de Hardware; Mantenimiento de Software; Mantenimiento preventivo; Mantenimiento y soporte IT; Servicios de Mantenimiento de Software; Servicios de soporte y mantenimiento de TI,1,1650000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0012,Soporte Técnico 24/7,1,Soporte Técnico 24/7; Soporte Técnico Adicional; Soporte Técnico Avanzado; Soporte Técnico Especializado; Soporte Técnico Mensual; Soporte Técnico Prioritario,Soporte Técnico 24/7; Soporte Técnico Adicional; Soporte Técnico Avanzado; Soporte Técnico Especializado; Soporte Técnico Mensual; Soporte Técnico Prioritario,1,1650000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0013,Asistencia técnica remota,1,Asistencia técnica por incidente a $150; Asistencia técnica remota,Asistencia técnica por incidente a $150; Asistencia técnica remota,1,1425000,,Servicios > Atención al Cliente,"clientum,servicio"
