ID,Página,URL Producción,URL Desarrollo,Título H1,Descripción Principal,Subtítulo / Tag,Secciones y Contenido Destacado,Características / Bullets,CTA Principal,CTA Secundario,Estadísticas / Datos Clave,FAQs,Testimonios,Palabras Clave,Notas
inicio,Inicio (Home),https://clientum.com.ar/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/,"Todo lo que tu empresa necesita, en una sola plataforma.","CRM, Chatbot WhatsApp con IA, E-Commerce, ERP, Business Intelligence, Marketing Digital, Ciberseguridad, Cloud, Apps Móviles y Capacitación — el ecosistema completo de Clientum para hacer crecer tu PyME.",Plataforma All-in-One para PyMEs,"Hero con formulario de presupuesto gratuito | Social Proof Strip | Chatbot WhatsApp 24/7 | E-Commerce & Automatización | Medición & BI | Cultura Corporativa (Lealtad, Versatilidad, Personalidad) | Hub de Soluciones (12 soluciones) | Ecosistema Clientum (Academia, Partners, Blog, Casos, Nosotros, Ayuda) | CTA Final: Implementación en 5 días hábiles | Licencias: Personal $69 USD / Extendida $2.950 USD",Sin contrato mínimo | Implementado en 5 días | Soporte en español 24/7 | +200 PyMEs implementadas | 2.147+ servicios en catálogo | 4 temas de color: navy / forest / amber / charcoal,Ver Servicios,Solicitar Demo,+200 PyMEs implementadas | 5 días de implementación | 24/7 soporte técnico | 2.147+ servicios en catálogo,,,"CRM, chatbot WhatsApp, ERP, IA, automatización, PyME, e-commerce, facturación AFIP, plataforma all-in-one, Clientum",Formulario de presupuesto en el hero. Hub central con acceso a todas las sub-páginas.
servicios,Servicios y Consultoría,https://clientum.com.ar/servicios/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/servicios/,Ingeniería de Software de Pila Completa,"Diseñamos sistemas que integran todas las facetas de tu negocio en una única plataforma, facilitando la gestión y el análisis de datos en tiempo real.",Nuestra Especialización,"Tarjetas de servicios dinámicas (desde brochureData) | Nuestro Método: 01 Diagnóstico Inicial → 02 Estrategia & Arquitectura → 03 Implementación & Soporte | Video mockup ""Descubrí la experiencia Clientum"" | Botón ""Agendar Videollamada Demo""",Diagnóstico de procesos y planillas existentes | Plan de transformación digital a medida | Implementación ágil en la nube | Formación y capacitación del equipo | Soporte técnico constante 24/7,Agendar Videollamada Demo,Ver Planes de Implementación,15 países atendidos | 172 clientes corporativos | 472 integraciones exitosas | 10+ años de trayectoria,,,"consultoría, ERP, CRM, software a medida, implementación, transformación digital, full-stack, pila completa",Las tarjetas de servicios se renderizan desde brochureData (editor de brochure). Método de trabajo en 3 pasos.
catalogo,Catálogo Completo de Servicios,https://clientum.com.ar/catalogo-servicios/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/catalogo-servicios/,"Todo lo que hacemos, en un solo lugar",Filtrá por categoría o buscá por palabra clave. Cada servicio se cotiza según el alcance real del proyecto — los precios de referencia son orientativos.,Catálogo completo · 2.147 servicios,"Accesos rápidos a 11 soluciones de la plataforma | Buscador por palabra clave | Filtro por 13 categorías de servicios | Grid paginado: 24 servicios por página | Botón ""Exportar todo a WooCommerce · CSV"" | CTA: ""¿No encontrás lo que necesitás?""",Chatbot WhatsApp | CRM Inteligente | Asistente IA | Reportes Automáticos | Automatización | Portal del Cliente | Desarrollo Web | Consultoría | Integraciones | Academia | Casos de Éxito,Consultar (por cada servicio),Exportar todo a WooCommerce · CSV,2.147 servicios en 13 categorías,,,"catálogo de servicios, 2147 servicios, ERP, CRM, e-commerce, ciberseguridad, precios, WooCommerce CSV, importación",Data desde servicios-catalogo.json y categorias-servicios.json. Exportación WooCommerce disponible en esta página y en Planes y Academia.
planes,Planes y Precios,https://clientum.com.ar/precios/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/precios/,Planes Transparentes para Todos,"Ofrecemos soluciones adaptadas a las necesidades de cada cliente. Nuestros planes están diseñados para brindar servicios de alta calidad, asegurando que cada empresa encuentre el soporte adecuado para su crecimiento.",Nuestra Oferta Comercial,"Calculador Comparativo Inteligente con sliders (proyectos y páginas → plan recomendado) | 5 planes comparativos | FAQs sobre planes (4 preguntas) | Botón ""Exportar todo a WooCommerce · CSV""","Plan Inicial $20/mes: Landing page responsiva, Embudo básico 200 cont., Respaldos mensuales, Bot bienvenida fijo | Plan PyME $45/mes: Tienda online estándar, Stock+AFIP 1.000 cont., Cifrado BD, Bot WhatsApp FAQs | Plan Pro $80/mes (Más Elegido): E-Commerce premium, Multi-embudo ilimitado, Auditorías software, Agente IA & BI avanzado | Corporativo $150/mes: Portal B2B+Web integral, Pipeline multi-sucursal, Hardening+firewall, Analítica predictiva & bots | Especializado $250/mes: Apps web & mobile infinitas, Integraciones ERP legacy, SOC 24/7, Modelos LLM corporativos",Seleccionar Plan / Solicitar Presupuesto,Exportar todo a WooCommerce · CSV,"Desde $20 USD/mes | 14 días de prueba gratis | 20% descuento en facturación anual | Todos incluyen: app móvil, estimaciones, facturación y reportes","¿Qué es el período de prueba? (14 días sin pago ni compromiso) | ¿Pago mensual o anual? (20% descuento anual) | ¿Puedo cancelar o cambiar de plan? (Sí, sin penalidades) | ¿El IVA está incluido? (No, se calcula según condición fiscal)",,"precios, planes, suscripción mensual, $20 $45 $80 $150 $250 USD, PyME, Pro, Corporativo, Especializado, 14 días gratis","Calculador de plan recomendado basado en cantidad de proyectos. Opción hidePrices para ocultar precios. Plan Pro marcado como ""Más Elegido""."
nosotros,Sobre Nosotros,https://clientum.com.ar/sobre-nosotros/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/sobre-nosotros/,¿Quiénes somos? Conoce la Historia de Clientum,"Desde nuestros inicios en 2010, Clientum ha estado a la vanguardia de la transformación digital, ayudando a empresas de todos los tamaños a establecer su presencia en línea y optimizar sus operaciones comerciales.",Nuestra Trayectoria,"Historia (fundada 2010, General Roca, Río Negro; expansión a México y Chile) | Misión: software innovador con compromiso, transparencia e integridad | Equipo: Laura Martínez (CEO y Fundadora), Javier Torres (Dev Core Senior), Claudia Ruiz (Marketing Digital) | Certificaciones: AWS Cloud Certified, Official Meta Partner, AFIP Integrator API, ISO 27001 Security","Fundada en 2010 en General Roca, Patagonia | Presencia: Argentina, México, Chile, Europa | Sedes: Roca (central) + Berlín + Londres | Valores: Lealtad - Versatilidad - Personalidad",Conocernos,,10+ años de trayectoria | 3 sedes internacionales | Presencia en Latinoamérica y Europa,,,"quiénes somos, historia Clientum, equipo, certificaciones, AWS, ISO 27001, AFIP, General Roca, Patagonia, expansión internacional","Equipo: Laura Martínez CEO/Fundadora, Javier Torres Dev Senior, Claudia Ruiz Marketing. Sedes: Roca, Berlín (Alexanderplatz), Londres (Canary Wharf)."
casos,Casos de Éxito,https://clientum.com.ar/casos/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/casos/,Historias de Nuestros Clientes,Filtra nuestros proyectos realizados para ver cómo transformamos operaciones reales mediante tecnología robusta.,Casos de Éxito por Industria,"Filtros por industria: Todos / Retail / Manufactura / Agroindustria / Servicios / Ciberseguridad | 7 proyectos con foto, año, tipo e industria | Sección de testimonios breves (3 clientes)",WeWork Latam 2019 - Rebranding & SEO (Servicios) | Vans Store 2018 - App iOS/Android (Retail) | Apple Campus 2018 - Diseño+ERP (Retail) | Coca Cola Local 2018 - Social Media & Marketing (Servicios) | Cereales del Limay 2021 - ERP+AFIP+Cartas de porte (Agroindustria) | Metalúrgica Morgado 2020 - CRM Manufactura+BI (Manufactura) | Uber Eats 2022 - Consultoría Ciberseguridad,Solicitar solución similar,,7 proyectos reales | 5 industrias cubiertas,,Pizzería Don Corleone: +150% ventas de pizza los fines de semana | Inmobiliaria Pilar: bot agenda visitas automáticamente y envía planos | Clínica Vital: -45% ausentismo en turnos médicos con recordatorios WhatsApp,"casos de éxito, portfolio, retail, manufactura, agroindustria, ciberseguridad, WeWork, Coca Cola, Cereales del Limay, ERP AFIP",Filtro interactivo animado con Framer Motion. 7 proyectos reales con imagen Unsplash. Testimonios breves de 3 clientes.
academia,Academia,https://clientum.com.ar/academia/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/academia/,Cursos Especializados para Tu Crecimiento,"Inscríbete hoy mismo en nuestros programas de formación práctica dictados por profesionales en marketing digital, finanzas, desarrollo web y automatización.",Clientum Academia,"Grid de 6 cursos destacados con imagen | Campus virtual completo con 377 cursos (data cursos-lms.json) | Buscador de cursos | Paginación: 12 por página | Botón ""Exportar todo a WooCommerce · CSV"" | Testimonios de 3 estudiantes | Toast de pre-inscripción al hacer clic en ""Inscribirse Gratis""","Dominio de métricas de marketing digital (4 sem, Intermedio) | Crea tu Tienda Online con WooCommerce (6 sem, Principiante) | Automatiza tu Negocio y Multiplica tu Tiempo (5 sem, Avanzado) | Finanzas para Emprendedores (4 sem, Principiante) | SEO Avanzado y Marketing Orgánico (8 sem, Avanzado) | Comunicación Empresarial Efectiva (3 sem, General)",Inscribirse Gratis,Exportar todo a WooCommerce · CSV,377 cursos en campus virtual | Inscripción gratuita | Data desde cursos-lms.json,,"Felix Harder (Coach Fitness): ""El curso me ayudó a estructurar un plan de dieta y vender mis ebooks en automático"" | María López (Emprendedora): ""Creé mi primera tienda en WooCommerce desde cero procesando pedidos en pesos"" | Carlos Fernández (CEO Innovatech): ""La formación en automatización liberó horas del equipo""","academia, cursos gratis, capacitación, marketing digital, WooCommerce, SEO, automatización, finanzas, emprendedores, campus virtual",6 cursos destacados + 377 en campus. Pre-inscripción con toast de confirmación. Data desde cursos-lms.json.
blog,Recursos & Blog,https://clientum.com.ar/recursos/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/blog/,Recursos & Blog de Clientum,"Explora guías descargables en PDF, videos educativos y artículos populares para acelerar la transformación de tu PyME.",Base de Conocimientos,"Buscador de artículos en tiempo real | 4 artículos: SEO 2026 (Marketing, 5 min) / Tendencias Diseño Web Omnicanal (Diseño, 7 min) / Marketing Digital PyMEs (Estrategia, 6 min) / IA en ERP (Tecnología, 8 min) | Sidebar con 2 ebooks PDF descargables | Sección de Videos Educativos | Newsletter","SEO 2026: arquitectura semántica, velocidad, contenidos de valor | Diseño Omnicanal: QR de mesa + canales digitales en piloto automático | Marketing PyME: embudo que duplica cierres de ventas | IA en ERP: libera hasta 40% del tiempo administrativo | Ebook PDF: Optimización E-commerce (descarga gratuita) | Guía PDF: Automatización ERP (solicitar por email)",Leer artículo completo,Descargar PDF Gratis,4 artículos | 2 ebooks descargables | Videos educativos disponibles,,,"blog, recursos, SEO, marketing digital, diseño web omnicanal, ERP, inteligencia artificial, ebooks, PDF, tutoriales, capacitación","Buscador filtra en tiempo real por título, descripción y categoría. Sidebar con ebooks + sección de videos."
contacto,Contacto,https://clientum.com.ar/contacto/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/contacto/,¡Contáctanos! Estamos Listos,Estamos comprometidos con la conectividad y el progreso de la economía digital. Envíanos tu consulta.,Canales de Atención,"Formulario de contacto: Nombre, Email, Empresa, Servicio requerido (select), Mensaje, Newsletter checkbox | Servicios disponibles en select: Desarrollo Web E-Commerce / ERP-CRM / Consultoría / Ciberseguridad / Academia | Mapa interactivo de 3 oficinas: Patagonia, Berlín, Londres | Info legal: Clientum S.R.L., CIF BL1247890, Postbox 71090 Berlín | Confirmación en pantalla al enviar","Email: info@clientum.com.ar | Teléfono: +54 298 451-0883 | Roca: General Roca, Río Negro | Berlín: Habsburgerstraße 10, 10781 Berlín | Londres: 86-90 Paul Street, EC2A 4NE | Respuesta en 24 horas hábiles",Enviar Mensaje de Contacto,Solicitar Demo Gratuita,3 sedes internacionales | Respuesta garantizada en 24 horas hábiles,,,"contacto, demo gratuita, presupuesto, formulario, oficinas, General Roca, Berlín, Londres, email, WhatsApp",Formulario con opt-in newsletter. Confirmación en pantalla tras envío. 3 oficinas con tabs interactivos.
integraciones,Integraciones,https://clientum.com.ar/integracion/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/integracion/,Integraciones de Clientum,"Sincroniza de forma automática Clientum CRM con tus aplicaciones favoritas, pasarelas de pago y sistemas de facturación.",Conectividad Total,Grid de 6 integraciones principales | Sección técnica: API REST & Webhooks con payload de ejemplo JSON (event: lead.created),WhatsApp Business API (Mensajería Directa) - Oficial & Seguro | Facebook & Instagram Ads (Lead Ads) - Tiempo Real | WooCommerce & Shopify (E-Commerce) - Sincronización bidireccional | AFIP Facturación (Fiscal) - Facturas A/B/C automáticas | MercadoPago & Stripe (Pagos) - Links de pago desde bot | ERPs Tango/Bejerman (Enterprise) - API REST + BD local,Solicitar Integración,Ver API Docs,"+50 servicios integrados | API REST & Webhooks disponibles | Webhook payload: lead.created, timestamp, company, contact_phone, pain_point, estimated_roi",,,"integraciones, WhatsApp Business API, AFIP, MercadoPago, Stripe, WooCommerce, Shopify, ERP Tango, Bejerman, Facebook Ads, Instagram, API REST, webhooks",Payload de webhook de ejemplo incluido en la UI. 6 integraciones con tipo y badge. Sección para desarrolladores.
