ID,Nombre,Categoría,Descripción,Precio (ARS)
5868,Servicios de Desarrollo de Aplicaciones Móviles,Aplicaciones Móviles,Desarrollo De Apps Móviles,8000
5918,Desarrollo de aplicaciones móviles,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,7500
5937,Desarrollo de Aplicaciones Móviles Nativas y Multiplataforma,Aplicaciones Móviles,Desarrollo De Apps Móviles,7000
5967,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,Aplicaciones Móviles,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas al Alcance de tu Mano!,
5972,Servicios de desarrollo de aplicaciones móviles con integración de tecnologías emergentes,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,12000
5987,Servicios de desarrollo de aplicaciones móviles nativas con integración de realidad aumentada y realidad virtual,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,15000
6012,Servicios de Desarrollo de Aplicaciones Móviles Nativas con Integración de Realidad Aumentada,Aplicaciones Móviles,Desarrollo De Aplicaciones,
6041,Servicios de Desarrollo de Aplicaciones Móviles Nativas,Aplicaciones Móviles,Aplicaciones Móviles Con Ar Y Vr,15000
6073,Aplicaciones Móviles,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,
6083,Desarrollo de aplicaciones móviles nativas,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,6000
6115,Desarrollo de Apps Móviles,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,8000
6157,Desarrollo de Aplicaciones Móviles Intuitivas,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,10000
6435,Servicios de desarrollo de aplicaciones móviles para empresas,Aplicaciones Móviles,"Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.",25000
6461,Creación de apps móviles,Aplicaciones Móviles,Servicio De Creación De Aplicaciones Móviles A Medida.,3000
6494,Desarrollo de aplicación móvil,Aplicaciones Móviles,Creación De Aplicaciones Móviles Personalizadas.,3500
6509,Desarrollo de app móvil,Aplicaciones Móviles,Creación De Aplicaciones Móviles Para Brindar A Los Usuarios Una Experiencia De Marca Integral.,4000
6560,"Desarrollo de Apps Móviles para Ecommerce: Diseño, Implementación y Publicación",Aplicaciones Móviles,"Servicio de Desarrollo de Aplicaciones Móviles para E-commerce: Diseño centrado en el usuario, integración perfecta, funcionalidades avanzadas, optimización para dispositivos móviles. Mayor alcance, experiencia de compra",12000
6579,Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimiza tu Tienda Online,Aplicaciones Móviles,Servicio de Diseño y Desarrollo de Aplicaciones Móviles para Ecommerce,8000
6590,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes,Aplicaciones Móviles,Servicio de Desarrollo de Aplicación Móvil Nativa Para Ecommerce,12000
6653,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo,Aplicaciones Móviles,Aplicaciones móviles para e-commerce: la clave para impulsar tu negocio online,2000
6667,Desarrollo de Apps Móviles para Ecommerce: Optimiza la Experiencia de Compra en Dispositivos Móviles,Aplicaciones Móviles,Desarrollo de Apps Móviles para Ecommerce: Impulsa tu Negocio Online,2000
6677,Desarrollo de Aplicaciones Móviles para Ecommerce: Optimiza tu Tienda Virtual para Dispositivos Móviles,Aplicaciones Móviles,Servicios de Desarrollo de App Móvil para Ecommerce,3000
6704,Servicios de Desarrollo de Aplicaciones Móviles Ecommerce,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Para Ecommerce.,10000
6854,Diseño avanzado de aplicación móvil,Aplicaciones Móviles,,1
6899,Soluciones Personalizadas para Apps,Aplicaciones Móviles,Apps Móviles Personalizadas.,4200
6907,Soluciones Personalizadas para Móviles,Aplicaciones Móviles,Soluciones Móviles Personalizadas.,4000
6913,Soluciones Personalizadas para Plataformas Móviles,Aplicaciones Móviles,Soluciones Móviles Personalizadas.,3000
6917,Soluciones Personalizadas para Diferentes Plataformas,Aplicaciones Móviles,Soluciones Móviles Personalizadas.,5500
7581,Desarrollo a medida de aplicaciones móviles,Aplicaciones Móviles,Desarrollo De Apps Móviles,1200
7650,Servicios de Desarrollo de Aplicaciones Móviles,Aplicaciones Móviles,Desarrollo De Apps Móviles,
7700,Desarrollo de aplicaciones móviles,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,
7719,Desarrollo de Aplicaciones Móviles Nativas y Multiplataforma,Aplicaciones Móviles,Desarrollo De Apps Móviles,
7735,Servicios de desarrollo de aplicaciones móviles con integración de tecnologías emergentes,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Con Tecnologías Emergentes,
7750,Servicios de desarrollo de aplicaciones móviles nativas con integración de realidad aumentada y realidad virtual,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Con Realidad Aumentada Y Virtual,
7775,Servicios de Desarrollo de Aplicaciones Móviles Nativas con Integración de Realidad Aumentada,Aplicaciones Móviles,Desarrollo De Aplicaciones,
7787,Servicios de Desarrollo de Aplicaciones Móviles Nativas,Aplicaciones Móviles,Aplicaciones Móviles Con Ar Y Vr,
7807,Desarrollo de aplicaciones móviles nativas,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles Nativas Con Realidad Aumentada.,
7839,Desarrollo de Apps Móviles,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,
7881,Desarrollo de Aplicaciones Móviles Intuitivas,Aplicaciones Móviles,Desarrollo De Aplicaciones Móviles,
8146,Servicios de desarrollo de aplicaciones móviles para empresas,Aplicaciones Móviles,"Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.",
8172,Creación de apps móviles,Aplicaciones Móviles,Servicio De Creación De Aplicaciones Móviles A Medida.,
8196,Desarrollo de aplicación móvil,Aplicaciones Móviles,Creación De Aplicaciones Móviles Personalizadas.,
8211,Desarrollo de app móvil,Aplicaciones Móviles,Creación De Aplicaciones Móviles Para Brindar A Los Usuarios Una Experiencia De Marca Integral.,
8262,"Desarrollo de Apps Móviles para E-commerce: Diseño, Integración y Publicación para Impulsar tu Negocio",Aplicaciones Móviles,"Desarrollo de Apps Móviles para E-commerce: Diseño, Implementación y Publicación. Servicio integral para impulsar tu negocio online con una app móvil centrada en el usuario, integrada perfectamente, con funcionalidades a",
8281,Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimizá tu Tienda Online,Aplicaciones Móviles,Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimiza tu Tienda Online,
8292,Desarrollo de Apps Móviles Nativas para E-commerce: Mejora la Experiencia de Compra y Fideliza Clientes,Aplicaciones Móviles,Servicio de Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la experiencia de compra y fideliza clientes.,
8354,Aplicaciones móviles para e-commerce: Crea tu tienda online en tu bolsillo,Aplicaciones Móviles,Aplicaciones móviles para e-commerce: Crea tu tienda online en tu bolsillo,
8368,Desarrollo de Apps Móviles para Ecommerce: Optimiza la Experiencia de Compra en Dispositivos Móviles,Aplicaciones Móviles,Desarrollo de Apps Móviles para Ecommerce: Optimiza la Experiencia de Compra en Dispositivos Móviles,
8378,Desarrollo de Aplicaciones Móviles para Ecommerce: Optimiza tu Tienda Virtual para Dispositivos Móviles,Aplicaciones Móviles,Desarrollo de Aplicaciones Móviles para Ecommerce: Optimiza tu Tienda Virtual para Dispositivos Móviles,
8405,Desarrollo de Apps Móviles para E-commerce: Experiencia de Compra Optimizada y Funcionalidades Avanzadas,Aplicaciones Móviles,Desarrollo de Apps Móviles para Ecommerce: Experiencia de Compra Optimizada y Funcionalidades Avanzadas,
5891,IT Support Package,Atención al Cliente,Soporte Técnico It,10000
5899,Systems Maintenance,Atención al Cliente,Mantenimiento De Sistemas It,15000
5932,Asistencia técnica remota,Atención al Cliente,Asistencia Técnica Remota,3000
5936,Desarrollo de chatbots,Atención al Cliente,Desarrollo De Chatbots,5000
5951,Monitoreo IT,Atención al Cliente,Monitoreo It,
5969,Servicios de monitoreo y gestión de infraestructura IT,Atención al Cliente,Monitoreo Y Gestión De Infraestructura It,15000
5975,Servicios de diseño y desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Diseño Y Desarrollo De Chatbots Y Asistentes Virtuales,7000
6010,Servicios de diseño y desarrollo de chatbots y asistentes virtuales con capacidades de procesamiento de lenguaje natural,Atención al Cliente,Desarrollo De Software,15000
6050,Monitoreo de infraestructura,Atención al Cliente,Monitoreo It,
6053,Diseño de chatbots,Atención al Cliente,Chatbots,
6056,Soporte al Cliente con Respuestas Rápidas y Precisas,Atención al Cliente,Chatbots Y Respuestas Automatizadas.,4000
6064,Soporte al Cliente,Atención al Cliente,Soporte Automatizado,
6075,Diseño y desarrollo de chatbots,Atención al Cliente,Diseño Y Desarrollo De Chatbots Y Asistentes Virtuales,2000
6096,Servicios de Mantenimiento de Software,Atención al Cliente,Mantenimiento De Software,4000
6097,Soporte Técnico 24/7,Atención al Cliente,Soporte Técnico,3000
6138,Mantenimiento y Soporte Técnico Continuo,Atención al Cliente,Mantenimiento Técnico,5000
6143,Soporte a Usuarios Finales,Atención al Cliente,Soporte Técnico Para Usuarios Finales.,150
6149,Soporte Técnico Continuo,Atención al Cliente,Soporte Técnico Para Sistemas Y Aplicaciones.,3000
6150,Mantenimiento de Software,Atención al Cliente,Mantenimiento Y Actualización De Software.,2500
6151,Mantenimiento de Hardware,Atención al Cliente,Mantenimiento De Equipos De Hardware.,3000
6152,Soporte Remoto,Atención al Cliente,Soporte Técnico A Distancia.,2500
6153,Instalación de Software,Atención al Cliente,Instalación Y Configuración De Software.,1500
6154,Actualización de Sistemas Operativos,Atención al Cliente,Actualización De Sistemas Operativos.,1000
6162,Chatbots Avanzados para Experiencias Personalizadas,Atención al Cliente,Chatbots Avanzados,6000
6167,Automatización de Servicio al Cliente en Plataformas Móviles,Atención al Cliente,Automatización En Móviles,6000
6171,Automatización de Encuestas y Retroalimentación del Cliente,Atención al Cliente,Encuestas Automatizadas,3500
6183,Chatbots para Ventas,Atención al Cliente,Chatbots Para Ventas Con Ia,80
6185,Automatización de Servicio al Cliente con IA,Atención al Cliente,Chatbots Para Servicio Al Cliente,300
6190,Plataforma de Chatbots y Asistentes Virtuales,Atención al Cliente,Chatbots Y Asistentes Virtuales,210
6213,Optimización de Estrategias de Servicio al Cliente,Atención al Cliente,Optimización De Servicio,260
6221,Soporte Técnico Especializado,Atención al Cliente,Soporte Técnico Especializado,6000
6223,Automatización de Servicio al Cliente,Atención al Cliente,Automatización Del Servicio Al Cliente,14000
