ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags
,simple,SRV-CTM-0001,Gestión de la Experiencia del Cliente (CX),1,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,1,21.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0002,Systems Maintenance,1,Mantenimiento De Sistemas It,Mantenimiento De Sistemas It,1,2025.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0003,Servicios de monitoreo y gestión de infraestructura IT,1,Monitoreo Y Gestión De Infraestructura It,Monitoreo Y Gestión De Infraestructura It,1,2025.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0004,Servicios de auditoría y cumplimiento normativo,1,Servicios De Consultoría Y Auditoría Para Garantizar El Cumplimiento De Requisitos Legales Y Normativos.,Servicios De Consultoría Y Auditoría Para Garantizar El Cumplimiento De Requisitos Legales Y Normativos.,1,195.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0005,IT Support Package,1,Soporte Técnico It,Soporte Técnico It,1,195.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0006,Desarrollo de chatbots,1,"Servicio de Desarrollo de Chatbot de Soporte al Cliente para Ecommerce: Mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.","Servicio de Desarrollo de Chatbot de Soporte al Cliente para Ecommerce: Mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.",1,1875.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0007,Automatización de Servicio al Cliente,1,Automatización Del Servicio Al Cliente,Automatización Del Servicio Al Cliente,1,1875.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0008,Montaje de eventos,1,Servicio Integral De Montaje Y Producción Técnica De Eventos Corporativos O Sociales.,Servicio Integral De Montaje Y Producción Técnica De Eventos Corporativos O Sociales.,1,18.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0009,Soporte Técnico Continuo,1,Soporte Post-Implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,Soporte Post-Implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,1,1725.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0010,Soporte Remoto,1,Soporte Técnico A Distancia.,Soporte Técnico A Distancia.,1,1725.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0011,Mantenimiento preventivo,1,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,1,165.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0012,Soporte Técnico 24/7,1,Soporte Técnico Especializado,Soporte Técnico Especializado,1,165.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0013,Asistencia técnica remota,1,$150 por incidente: Protección integral para tu tranquilidad,$150 por incidente: Protección integral para tu tranquilidad,1,1425.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0014,Generación de Respuestas con IA,1,Solución De Generación De Respuestas Con Ia,Solución De Generación De Respuestas Con Ia,1,15.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0015,Diseño de interiores,1,Servicio De Diseño Integral De Interiores.,Servicio De Diseño Integral De Interiores.,1,1575.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0016,Servicios de Asistencia Virtual Ecommerce,1,Soluciones De Asistencia Virtual Para Ecommerce.,Soluciones De Asistencia Virtual Para Ecommerce.,1,1575.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0017,Servicio de Gestión de Reseñas y Opiniones,1,"Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.","Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.",1,1425.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0018,Instalación de Software,1,Instalación Y Configuración De Software.,Instalación Y Configuración De Software.,1,135.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0019,Consultoría legal,1,Servicios De Consultoría Y Asesoría Legal Para Empresas.,Servicios De Consultoría Y Asesoría Legal Para Empresas.,1,135.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0020,Chatbot de Atención al Cliente para Ecommerce,1,"Servicio de chatbot de atención al cliente para e-commerce. Automatiza las consultas de los clientes 24/7, mejora la experiencia del usuario y aumenta las ventas.","Servicio de chatbot de atención al cliente para e-commerce. Automatiza las consultas de los clientes 24/7, mejora la experiencia del usuario y aumenta las ventas.",1,12.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0022,Chatbot de Ventas (WhatsApp/Web),1,Chatbots para Ecommerce que mejoran la atención al cliente.,Chatbots para Ecommerce que mejoran la atención al cliente.,1,12.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0023,Translation of Documents,1,Traducción Documentos,Traducción Documentos,1,1125.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0024,Servicio de traducción,1,Servicios De Traducción De Contenido A Diversos Idiomas.,Servicios De Traducción De Contenido A Diversos Idiomas.,1,1125.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0025,Actualización de software,1,Actualización De Software Y Parches De Seguridad.,Actualización De Software Y Parches De Seguridad.,1,105.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0026,Alquiler de equipo audiovisual,1,Alquiler De Equipos Audiovisuales Profesionales Para Proyectos De Producción De Contenido.,Alquiler De Equipos Audiovisuales Profesionales Para Proyectos De Producción De Contenido.,1,105.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0027,Enrutamiento Inteligente de Tickets,1,Solución De Enrutamiento Inteligente De Tickets Con Ia,Solución De Enrutamiento Inteligente De Tickets Con Ia,1,9.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0028,Traducción e interpretación,1,Servicios De Interpretación En Vivo Para Eventos Y Reuniones Multilinguës.,Servicios De Interpretación En Vivo Para Eventos Y Reuniones Multilinguës.,1,975.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0029,Personalización,1,Servicio De Asesoría Integral De Imagen Personal.,Servicio De Asesoría Integral De Imagen Personal.,1,75.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0030,Plataforma de Chatbots y Asistentes Virtuales,1,Chatbots Y Asistentes Virtuales,Chatbots Y Asistentes Virtuales,1,825.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0031,Optimización de Estrategias de Servicio al Cliente,1,Optimización De Servicio,Optimización De Servicio,1,825.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0032,Transcripción de audio,1,Servicio De Transcripción Profesional De Audio.,Servicio De Transcripción Profesional De Audio.,1,9.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0033,Soporte a Usuarios Finales,1,Soporte Técnico Para Usuarios Finales.,Soporte Técnico Para Usuarios Finales.,1,562.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0034,Respaldo y recuperación,1,Servicios De Respaldo Y Recuperación De Información.,Servicios De Respaldo Y Recuperación De Información.,1,6.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0035,Gestión de redes,1,Gestión Y Mantenimiento De Redes.,Gestión Y Mantenimiento De Redes.,1,638.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0036,Soporte básico anual,1,"Soporte Técnico Inicial: Tu aliado tecnológico para un funcionamiento óptimo. Atención personalizada, diagnóstico remoto, soporte telefónico y por correo electrónico, base de conocimientos integral. Minimiza el tiempo de","Soporte Técnico Inicial: Tu aliado tecnológico para un funcionamiento óptimo. Atención personalizada, diagnóstico remoto, soporte telefónico y por correo electrónico, base de conocimientos integral. Minimiza el tiempo de",1,675.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0037,Valor Hora - Cliente D,1,Valor Hora Cliente D,Valor Hora Cliente D,1,712.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0038,**Soporte Técnico**,1,Soporte Técnico Para Usuarios Finales.,Soporte Técnico Para Usuarios Finales.,1,375.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0039,Servicio de catering,1,Servicio De Catering Para Eventos Y Reuniones.,Servicio De Catering Para Eventos Y Reuniones.,1,412.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0040,Soporte Integral: Tu solución completa para todas tus necesidades,1,"Soporte Integral: Tu aliado para un negocio sin preocupaciones. Atención personalizada, soporte técnico 24/7, gestión de proyectos, capacitación y auditorías para garantizar el éxito y la tranquilidad de tu negocio.","Soporte Integral: Tu aliado para un negocio sin preocupaciones. Atención personalizada, soporte técnico 24/7, gestión de proyectos, capacitación y auditorías para garantizar el éxito y la tranquilidad de tu negocio.",1,45.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0041,"Chatbots para E-commerce: Asistencia 24/7, Respuestas Automáticas y Procesamiento de Pedidos",1,"Chatbots para E-commerce: Asistencia en tiempo real, respuestas a preguntas frecuentes y procesamiento de pedidos","Chatbots para E-commerce: Asistencia en tiempo real, respuestas a preguntas frecuentes y procesamiento de pedidos",1,488.0,Servicios > Atención al Cliente,"servicio,clientum"
,simple,SRV-CTM-0042,"Desarrollo de Apps Móviles para Ecommerce: Diseño, Implementación y Publicación",1,"Servicio de Desarrollo de Aplicaciones Móviles para E-commerce: Diseño centrado en el usuario, integración perfecta, funcionalidades avanzadas, optimización para dispositivos móviles. Mayor alcance, experiencia de compra","Servicio de Desarrollo de Aplicaciones Móviles para E-commerce: Diseño centrado en el usuario, integración perfecta, funcionalidades avanzadas, optimización para dispositivos móviles. Mayor alcance, experiencia de compra",1,855.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0043,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes,1,Servicio de Desarrollo de Aplicación Móvil Nativa Para Ecommerce,Servicio de Desarrollo de Aplicación Móvil Nativa Para Ecommerce,1,975.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0044,Desarrollo de app móvil,1,"Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.","Servicios De Consultoría Y Construcción De Soluciones Móviles Para Mejorar La Productividad, Eficiencia Y Experiencia De Los Usuarios.",1,735.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0045,Soluciones Personalizadas para Apps,1,Soluciones Móviles Personalizadas.,Soluciones Móviles Personalizadas.,1,615.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0046,Creación de apps móviles,1,Servicio De Creación De Aplicaciones Móviles A Medida.,Servicio De Creación De Aplicaciones Móviles A Medida.,1,495.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0047,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo,1,Aplicaciones móviles para e-commerce: la clave para impulsar tu negocio online,Aplicaciones móviles para e-commerce: la clave para impulsar tu negocio online,1,375.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0048,Diseño avanzado de aplicación móvil,1,Diseño avanzado de aplicación móvil,Diseño avanzado de aplicación móvil,1,135.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0049,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,1,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas al Alcance de tu Mano!,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas al Alcance de tu Mano!,1,255.0,Servicios > Aplicaciones Móviles,"servicio,clientum"
,simple,SRV-CTM-0050,Outsourcing de procesos de negocio,1,Servicios De Outsourcing Para Optimizar Y Gestionar Operaciones Clave Del Negocio.,Servicios De Outsourcing Para Optimizar Y Gestionar Operaciones Clave Del Negocio.,1,33.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0051,Implementación de soluciones de inteligencia artificial (IA) y aprendizaje automático (ML) para automatización de procesos,1,Automatización De Procesos Con Ia Y Ml,Automatización De Procesos Con Ia Y Ml,1,315.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0052,Automatización de Procesos de Negocio (BPA),1,"Servicios De Consultoría Y Despliegue De Tecnologías De Automatización, Orquestación Y Aprovisionamiento De Recursos De Infraestructura.","Servicios De Consultoría Y Despliegue De Tecnologías De Automatización, Orquestación Y Aprovisionamiento De Recursos De Infraestructura.",1,3.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0053,Implementación de RPA (Automatización Robótica de Procesos),1,Servicios De Consultoría Y Despliegue De Tecnologías De Automatización Inteligente De Tareas Y Procesos Repetitivos.,Servicios De Consultoría Y Despliegue De Tecnologías De Automatización Inteligente De Tareas Y Procesos Repetitivos.,1,285.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0054,Automatización de Operaciones de TI (AIOps),1,Soluciones De Automatización De Operaciones De Ti (Aiops).,Soluciones De Automatización De Operaciones De Ti (Aiops).,1,27.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0055,Automation with Dolibarr,1,Automatización Empresarial,Automatización Empresarial,1,24.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0056,Automatización Avanzada,1,Automatización De Procesos Empresariales,Automatización De Procesos Empresariales,1,255.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0057,Automatización Empresarial,1,Optimización De Procesos Industriales,Optimización De Procesos Industriales,1,225.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0058,Integración de Sistemas,1,Migración De Aplicaciones Legacy A Microservicios.,Migración De Aplicaciones Legacy A Microservicios.,1,21.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0059,Gestión de Flotas y Rutas,1,Herramientas De Automatización,Herramientas De Automatización,1,195.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0060,Asistencia Virtual para la Gestión de Tareas,1,Asistencia Virtual,Asistencia Virtual,1,1575.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0061,Soluciones RPA (Robotic Process Automation),1,Automatización De Procesos Con Rpa.,Automatización De Procesos Con Rpa.,1,1725.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0062,Soporte Automatizado,1,Soporte Automatizado,Soporte Automatizado,1,1875.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0063,Procesamiento Automatizado de Facturas y Pagos,1,Procesamiento Automatizado,Procesamiento Automatizado,1,1425.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0064,Rediseño De Procesos,1,Análisis Y Rediseño De Procesos.,Análisis Y Rediseño De Procesos.,1,1275.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0065,Automatización de Procesos Ecommerce: Optimiza y Agiliza tu Negocio Online,1,Automatización de Flujos de Trabajo en Ecommerce,Automatización de Flujos de Trabajo en Ecommerce,1,1125.0,Servicios > Automatización de Procesos,"servicio,clientum"
,simple,SRV-CTM-0066,Consultoría en digitalización de procesos,1,Consultoría En Digitalización De Procesos,Consultoría En Digitalización De Procesos,1,975.0,Servicios > Automatización de Procesos,"servicio,clientum"
